T1,T2,aligned_length,coordinate_agreement,coordinate_decision,cos_mean,cos_median,frame_offset,frame_offset_crosscorr_peak,l2_mean,offset_verified,prompt_id,roundtrip_token_match,sample_id,seed,whitened_cos_mean
46,46,46,1.0,PASS,0.9969737375082445,0.9982947415628061,0,0,15.040263057981452,True,p4,0.9565217391304348,p4_repo_default_s303_405eae3a1111,303,0.9949038745639116
48,48,48,1.0,PASS,0.9929391828105963,0.9982196896524647,0,0,20.592534467738783,True,p4,0.9583333333333334,p4_repo_default_s404_6783a23a51a7,404,0.9887869758073652
40,40,40,1.0,PASS,0.9942358043860455,0.9968774083941223,0,0,21.350236046223422,True,p5,0.975,p5_repo_default_s101_2e09396abae4,101,0.9908255730361765
40,40,40,1.0,PASS,0.9951864783870009,0.9967171094925358,0,0,18.609037783951553,True,p5,0.975,p5_repo_default_s202_2ec04a0dbb60,202,0.9926033992164349
46,46,46,1.0,PASS,0.9973373736911585,0.9985033362287421,0,0,14.255376999280728,True,p5,0.9782608695652174,p5_repo_default_s303_f214912b4437,303,0.9960533850536905
49,49,49,1.0,PASS,0.9951904355935454,0.9980826949956925,0,0,17.563450385166952,True,p5,0.9591836734693877,p5_repo_default_s404_162b0dac4264,404,0.9904484632995832
54,54,54,1.0,PASS,0.9968005092668082,0.9978424651414985,0,0,15.931427586936415,True,p6,0.9629629629629629,p6_repo_default_s101_4b18773fd91c,101,0.994452265880688
61,61,61,1.0,PASS,0.9954901036559178,0.9985723759988414,0,0,16.726931596926097,True,p6,0.9672131147540983,p6_repo_default_s202_918b9a87b276,202,0.9938550887197719
59,59,59,1.0,PASS,0.99780463445761,0.9987925517873086,0,0,13.522321554579744,True,p6,0.9491525423728814,p6_repo_default_s303_419ceaee248d,303,0.9961262256831288
67,67,67,1.0,PASS,0.9964009835787087,0.9982045318294549,0,0,16.865251688428884,True,p6,0.9104477611940298,p6_repo_default_s404_f3aa73e9bdf4,404,0.9937931651575469
50,50,50,1.0,PASS,0.9970503326452387,0.9984526751516554,0,0,15.296960909120958,True,p7,0.94,p7_repo_default_s101_99aa7bd58829,101,0.9955373365523421
62,62,62,1.0,PASS,0.9976460259994815,0.9987975840777652,0,0,13.766202072305555,True,p7,0.9838709677419355,p7_repo_default_s202_47a7c467c6e5,202,0.9963782466724084
46,46,46,1.0,PASS,0.9978898193363167,0.9987183692222061,0,0,13.747067636510016,True,p7,0.9782608695652174,p7_repo_default_s303_e94502541332,303,0.9967397445816716
60,60,60,1.0,PASS,0.9984080165862281,0.9989459275345004,0,0,11.963538598591551,True,p7,0.9666666666666667,p7_repo_default_s404_3bbd5e38f6c4,404,0.9964264916172118
