key_id,text_id,channel,n_frames,mean_s,var_s
56,p1,clean_reencode,194,0.03969651797337258,2.1363543656157313
57,p1,clean_reencode,194,0.5922252807803352,5.147631230332607
58,p1,clean_reencode,194,-0.35899109799579204,2.555530724390667
59,p1,clean_reencode,194,-0.2552530609309047,3.015912432622706
60,p1,clean_reencode,194,-0.02040493359820911,2.6387884079696904
61,p1,clean_reencode,194,-0.18590595528012863,2.7980724274369955
62,p1,clean_reencode,194,0.5908482089980097,2.4075621569436794
63,p1,clean_reencode,194,0.6067704614594454,2.076475544182008
0,p2,clean_reencode,187,-0.5363805225513774,1.7258311865163531
1,p2,clean_reencode,187,-0.25142407363034386,2.003989412306299
2,p2,clean_reencode,187,-0.623771557027924,2.4353170242829836
3,p2,clean_reencode,187,0.7544732416208672,3.119562203161153
4,p2,clean_reencode,187,0.27360158183452277,3.8086802311756136
5,p2,clean_reencode,187,-0.21708097988738156,1.6030725766390526
6,p2,clean_reencode,187,-0.487046350935022,3.375205347145385
7,p2,clean_reencode,187,0.7076656128849886,1.6666345743941637
8,p2,clean_reencode,187,-0.018145395905784515,2.834157842167389
9,p2,clean_reencode,187,0.10504614328685787,1.9864115168304406
10,p2,clean_reencode,187,-0.3017749845399602,2.724952542516487
11,p2,clean_reencode,187,-0.9216173782962097,2.782484145719868
12,p2,clean_reencode,187,-0.7734405950159025,2.5194876473845746
13,p2,clean_reencode,187,-0.8127462351351628,3.3082570032101732
14,p2,clean_reencode,187,-0.3469868299850163,1.6060704824624603
15,p2,clean_reencode,187,0.9235245228868759,2.544106877447776
16,p2,clean_reencode,187,0.41492953136321475,2.6943692146876637
17,p2,clean_reencode,187,0.3998317262229204,2.9908974292340287
18,p2,clean_reencode,187,0.06666435300574271,2.13882425181562
19,p2,clean_reencode,187,-0.4830123771713324,2.4197141782954277
20,p2,clean_reencode,187,-0.23327658877319293,1.9082302938831561
21,p2,clean_reencode,187,-0.2768550999704062,1.9476391017399528
22,p2,clean_reencode,187,0.09689285474859813,2.717632981108844
23,p2,clean_reencode,187,0.2343462420333079,2.943119426828877
24,p2,clean_reencode,187,0.38458970954445965,2.9678711082118934
25,p2,clean_reencode,187,-0.07720526587226005,2.762773152481358
26,p2,clean_reencode,187,-0.4583628479603094,3.694822054079311
27,p2,clean_reencode,187,0.16766269259823915,1.717428989565662
28,p2,clean_reencode,187,0.23932132679952273,2.0318330169489105
29,p2,clean_reencode,187,-0.5418363991923343,2.5789419184065765
30,p2,clean_reencode,187,0.43700986101024836,2.6082668988445543
31,p2,clean_reencode,187,-0.07405455345096047,1.940786567300386
32,p2,clean_reencode,187,-0.307598474594673,2.665644339237031
33,p2,clean_reencode,187,-1.1705740369531403,1.921593048898335
34,p2,clean_reencode,187,-0.2121837338110642,2.208126087935136
