V_mean_over_keys,entropy,p_max,ordinary_mass,support
0.00013036447219349635,0.000560557935391168,0.9999549875401226,1.0000000000000002,51
0.03323988860625321,0.10293656947173273,0.9825144102855653,1.0,50
0.03939696272875304,0.14103045480030765,0.9692949320379685,1.0,51
0.34899834704379445,1.3575986183736675,0.5959219426019098,1.0,50
0.5188419420590096,0.9483488086254399,0.6291214416607658,1.0,51
0.22986302567645608,0.703838266583749,0.7545528470759538,0.9999999999999998,50
0.00012498908215494045,0.0011202472501285485,0.9998995715957354,1.0,52
0.28640064896307016,0.6651986253463494,0.7588268932430975,1.0,50
0.12659985997902135,0.3541987925232842,0.8981158783529233,1.0,51
4.040256385528142e-05,0.00025585840287900503,0.9999805956427206,1.0,50
0.30362826124947306,0.5304151814689763,0.7772936613453022,1.0,52
0.37432661010393087,0.9757847879860169,0.5598908020523782,1.0,50
0.8854939852926041,0.8327171098086203,0.701024895798078,0.9999999999999999,51
0.558009523369368,1.9340337828928054,0.24827122200026114,1.0000000000000002,50
0.22843766446484262,1.0348175262548074,0.47714664582148525,1.0000000000000002,50
0.5462801089277851,1.065289911943378,0.4334532784489573,1.0000000000000002,50
0.0024324663507776503,0.02949718483291852,0.9954851126339069,0.999999999223906,50
0.24094556054687877,0.5427524856583256,0.8317677031931818,0.9999997076497276,50
0.7030937942734208,2.0324336027795944,0.4204286765314903,0.9967450928885742,50
0.30328288784416924,0.8428637565473985,0.6853638103296271,0.99075212078033,51
0.3378808626766728,1.3108321231177678,0.5190980301726669,0.9998352725200867,51
0.03601111186116556,0.1911618475103212,0.9609062550470155,0.9870341199022074,50
0.06609456305659486,0.16621194465780653,0.9676236835499344,0.9849981040713076,50
0.00039518877284559187,0.0023026705554677336,0.9997552649553556,0.9997596893504154,50
0.11781815095262776,0.7647397652864933,0.718954502762867,0.7633252191375449,51
0.025935877141228983,0.2046775466160481,0.9484614043198947,0.05153859568010532,51
0.07872283710954628,0.739832758379385,0.7442880607155351,1.0,50
0.13549622166981135,0.44738642406758267,0.9104028789291283,1.0,51
0.0006514933357045341,0.003641538053020711,0.9996368013147211,1.0,51
0.02677339102204032,0.11733627632383367,0.980847603476749,1.0,50
4.657453286704134e-05,0.0005872345890654496,0.9999518232148801,0.9999999999999998,50
0.035393152366415936,0.08056394996252195,0.984594471163701,1.0000000000000004,51
0.0796645834392853,0.23648173515285506,0.9502215479229046,1.0,50
0.6367999449969873,0.8595603809373475,0.6575238528460832,1.0000000000000002,50
0.0017805186704609986,0.008805435259795035,0.9989840091198902,0.9999999999999999,52
0.0006199073186984256,0.005369141136456087,0.9993610210998518,0.9999999999999999,50
0.2542296122951078,0.6570930546555453,0.7860711184579494,1.0000000000000002,50
0.00036253066216555336,0.0015626924962850862,0.9998574422633477,1.0000000000000004,51
0.003768638534702954,0.023392651840494244,0.9968649065587789,1.0000000000000002,50
0.2203911340571611,0.6943186606665178,0.6615705202065395,1.0000000000000002,51
0.04101616987545746,0.18168558038260255,0.9635177703359903,1.0,50
0.18001646329911314,0.4931852511165339,0.8838518172650967,1.0,51
0.006272698521916576,0.02431259492825279,0.9967744775596149,1.0000000000000002,52
0.0750571287444128,0.32064521986256184,0.902191134375165,0.9999999999999999,50
0.17868524762907387,0.30614107943736585,0.912293896027654,1.0,52
0.05357469025797988,0.25748391094065914,0.9518483286140864,1.0000000000000004,50
0.06800610356956642,0.27291528291106903,0.9332985585104467,0.9999999999999998,51
0.22648293353489948,0.7268866232841295,0.8347756467258615,0.9999999999999998,50
0.0003832425600255294,0.001500911961433976,0.9998753322682064,1.0000000000000002,50
0.1160081195993974,0.3281689624881088,0.9336169879184907,1.0,50
0.007500917608586514,0.03616103508273077,0.9947917215546509,1.0000000000000002,50
0.5783795551066067,1.7915339815538254,0.3245855518593276,0.9999999999999999,52
0.07745627686518661,0.38472483187486306,0.9288868873115724,1.0,51
0.0003764903321024269,0.0022549296423070536,0.999809150676287,0.9999999999999996,50
0.22561846960822113,0.5609256729808769,0.7522522011705274,0.9999999999999999,50
0.14136082351563772,0.5271351724478635,0.7973570414585006,1.0,51
0.6120388678842266,1.002086371772243,0.6785590153311798,1.0,51
7.005937583890755e-05,0.00032976738302067514,0.9999735396188901,0.9999999999999999,50
0.0015973231457043898,0.007922089208256735,0.9990515947563571,1.0000000000000002,50
0.164155441886513,0.45072039778335365,0.8869738783930408,1.0000000000000002,50
0.7122008681064744,1.7094455427084714,0.47025470115925455,1.0000000000000002,50
0.0804963582444087,0.3745837303335071,0.9122271526383329,1.0000000000000004,51
0.0038696643612467305,0.01804566376253225,0.9979360211468662,0.9999999999999999,50
0.12368368757933526,0.5477429126853657,0.8412895366114176,0.9999999894513067,51
0.01167992358862707,0.06719087037775207,0.9893586976481079,0.9999999956225933,50
0.001625867778457964,0.01932448291724662,0.9973160361795288,0.9999994682710743,50
0.22987665757156175,0.579441301294147,0.8040326283259379,0.9964285446128602,50
0.00011176509273194614,0.0012088403876916057,0.9998796980536564,0.00012030194634365577,51
0.09464312873090039,0.8489656987344817,0.7047149890782965,1.0000000000000002,50
0.49004417051656946,2.4468073561691512,0.2616609923534916,1.0,50
0.47988610853844116,1.7138628752508795,0.3674350510809035,0.9999999999999999,50
0.0917856553664895,0.446097448354402,0.9094313360050967,0.9999999999999999,50
0.0355007678163709,0.20510345452281362,0.9645785173516044,0.9999999999999997,50
0.09013115598388666,0.41838400500665335,0.9235003295433167,1.0000000000000002,50
0.03589187549233977,0.18443662904520125,0.9715577548722126,0.9999999999999998,50
0.023160586486415523,0.12359058650906676,0.9819745350497592,0.9999999999999999,50
0.08462800649857216,0.35283787480973244,0.9346845369814492,1.0,51
0.26060603132755145,0.9644807941576801,0.7560238950007611,0.9999999999999999,50
0.4305029578849726,1.6172809644059885,0.5507077032063559,0.9999999999999999,50
