sample_id,trunc_frame,distance,align_lag,cosine,norm_l2
p6_repo_default_s404_f3aa73e9bdf4,16,8,0,0.9936777804324235,0.12477673371562509
p6_repo_default_s404_f3aa73e9bdf4,16,9,0,0.9949117330431106,0.15818524334489362
p6_repo_default_s404_f3aa73e9bdf4,16,10,0,0.9948385322828005,0.1414159230687863
p6_repo_default_s404_f3aa73e9bdf4,16,11,0,0.9956951390822458,0.12057910538677098
p6_repo_default_s404_f3aa73e9bdf4,16,12,0,0.9966939560783906,0.1245389143188456
p6_repo_default_s404_f3aa73e9bdf4,16,13,0,0.9976293236891253,0.09645275743537393
p6_repo_default_s404_f3aa73e9bdf4,16,14,0,0.9966705778232937,0.10787246254900308
p6_repo_default_s404_f3aa73e9bdf4,16,15,0,0.9917561684760081,0.18239400675163303
p6_repo_default_s404_f3aa73e9bdf4,16,16,0,0.9961524972703427,0.10712454686986575
p6_repo_default_s404_f3aa73e9bdf4,16,17,0,0.9983739075555463,0.07941163855493133
p6_repo_default_s404_f3aa73e9bdf4,16,18,0,0.9975366457668188,0.1350261431066774
p6_repo_default_s404_f3aa73e9bdf4,16,19,0,0.9978646076481948,0.1292909397272156
p6_repo_default_s404_f3aa73e9bdf4,16,20,0,0.9973924062365456,0.12373639147840335
p6_repo_default_s404_f3aa73e9bdf4,16,21,0,0.9914207289144669,0.15743144300575837
p6_repo_default_s404_f3aa73e9bdf4,16,22,0,0.9966297237435895,0.1048888772658044
p6_repo_default_s404_f3aa73e9bdf4,16,23,0,0.996941516501138,0.10062619572860797
p6_repo_default_s404_f3aa73e9bdf4,16,24,0,0.9983537043090076,0.0836880210565281
p6_repo_default_s404_f3aa73e9bdf4,16,25,0,0.997679023041061,0.10368690829112213
p6_repo_default_s404_f3aa73e9bdf4,16,26,0,0.9981063861839,0.10343668502703779
p6_repo_default_s404_f3aa73e9bdf4,16,27,0,0.9987840899456407,0.08581799387546346
p6_repo_default_s404_f3aa73e9bdf4,16,28,0,0.9981085623721436,0.108880856115284
p6_repo_default_s404_f3aa73e9bdf4,16,29,0,0.9983254822019023,0.08578626698087219
p6_repo_default_s404_f3aa73e9bdf4,16,30,0,0.999273977875167,0.0762833784681445
p6_repo_default_s404_f3aa73e9bdf4,16,31,0,0.9988139974958326,0.056934258450142876
p6_repo_default_s404_f3aa73e9bdf4,16,32,0,0.9978212426821045,0.10749756493273843
p6_repo_default_s404_f3aa73e9bdf4,16,33,0,0.9985610591827141,0.0928085035347229
p6_repo_default_s404_f3aa73e9bdf4,16,34,0,0.9981461272113198,0.08949741823805613
p6_repo_default_s404_f3aa73e9bdf4,16,35,0,0.9980196074262255,0.09017287051267374
p6_repo_default_s404_f3aa73e9bdf4,16,36,0,0.9974063758332049,0.1070857777630663
p6_repo_default_s404_f3aa73e9bdf4,16,37,0,0.9985696697127634,0.08696322574217873
p6_repo_default_s404_f3aa73e9bdf4,16,38,0,0.9976743552827385,0.10388405837215316
p6_repo_default_s404_f3aa73e9bdf4,16,39,0,0.9979778634923524,0.09257318210615405
p6_repo_default_s404_f3aa73e9bdf4,16,40,0,0.998732676898015,0.09238712664100078
p6_repo_default_s404_f3aa73e9bdf4,16,41,0,0.9982138973962341,0.0905040129222819
p6_repo_default_s404_f3aa73e9bdf4,16,42,0,0.9979996337326795,0.10129036279068375
p6_repo_default_s404_f3aa73e9bdf4,16,43,0,0.9981215826934084,0.09493218065623861
p6_repo_default_s404_f3aa73e9bdf4,16,44,0,0.9984756983595274,0.08752292855764716
p6_repo_default_s404_f3aa73e9bdf4,16,45,0,0.9892103102736478,0.1572636414573226
p6_repo_default_s404_f3aa73e9bdf4,16,46,0,0.9803872314604097,0.20904289145491997
p6_repo_default_s404_f3aa73e9bdf4,16,47,0,0.987588652600765,0.1738286779664512
p6_repo_default_s404_f3aa73e9bdf4,16,48,0,0.9883394550211904,0.15933891280560364
p6_repo_default_s404_f3aa73e9bdf4,16,49,0,0.9811718597634911,0.2047253726154792
p6_repo_default_s404_f3aa73e9bdf4,16,50,0,0.9810535349634949,0.22194171235536822
p6_repo_default_s404_f3aa73e9bdf4,24,0,0,0.43547845568320825,0.9296190287081997
p6_repo_default_s404_f3aa73e9bdf4,24,1,0,0.7209222674718324,0.7823944112413331
p6_repo_default_s404_f3aa73e9bdf4,24,2,0,0.8675788111400199,0.5407993364203306
p6_repo_default_s404_f3aa73e9bdf4,24,3,0,0.9229758607554295,0.40099587677438603
p6_repo_default_s404_f3aa73e9bdf4,24,4,0,0.9716429343517687,0.27590390724254166
p6_repo_default_s404_f3aa73e9bdf4,24,5,0,0.9821124974998638,0.21197191556469508
p6_repo_default_s404_f3aa73e9bdf4,24,6,0,0.9856800917951268,0.1900651878354429
p6_repo_default_s404_f3aa73e9bdf4,24,7,0,0.976763288556658,0.2648251320613727
p6_repo_default_s404_f3aa73e9bdf4,24,8,0,0.9892751451034363,0.15808838669116346
p6_repo_default_s404_f3aa73e9bdf4,24,9,0,0.993018193078663,0.1466964297579625
p6_repo_default_s404_f3aa73e9bdf4,24,10,0,0.9951682761373742,0.1547727704388218
p6_repo_default_s404_f3aa73e9bdf4,24,11,0,0.9948402523281044,0.15829477978779893
p6_repo_default_s404_f3aa73e9bdf4,24,12,0,0.9944107893939172,0.1489829806521292
p6_repo_default_s404_f3aa73e9bdf4,24,13,0,0.9876335821841814,0.17986405380337697
p6_repo_default_s404_f3aa73e9bdf4,24,14,0,0.9946303701902384,0.12114076504719043
p6_repo_default_s404_f3aa73e9bdf4,24,15,0,0.9962899803114603,0.10704230415725206
p6_repo_default_s404_f3aa73e9bdf4,24,16,0,0.9968945129348751,0.10541922574225707
p6_repo_default_s404_f3aa73e9bdf4,24,17,0,0.9872336207983541,0.18718242395474427
p6_repo_default_s404_f3aa73e9bdf4,24,18,0,0.9963639001518558,0.12825273138253643
p6_repo_default_s404_f3aa73e9bdf4,24,19,0,0.9982005704506607,0.10816751296484788
p6_repo_default_s404_f3aa73e9bdf4,24,20,0,0.997010175517693,0.13541807976317297
p6_repo_default_s404_f3aa73e9bdf4,24,21,0,0.9977041353396376,0.09441020636435683
p6_repo_default_s404_f3aa73e9bdf4,24,22,0,0.9987832977733794,0.08181956226077321
p6_repo_default_s404_f3aa73e9bdf4,24,23,0,0.9983067517086734,0.06422633732857533
p6_repo_default_s404_f3aa73e9bdf4,24,24,0,0.9968503132970207,0.11837489272612317
p6_repo_default_s404_f3aa73e9bdf4,24,25,0,0.9978521602585065,0.1127432187603941
p6_repo_default_s404_f3aa73e9bdf4,24,26,0,0.9972130897903002,0.10777665941276515
p6_repo_default_s404_f3aa73e9bdf4,24,27,0,0.9968427164895809,0.10680805631838765
p6_repo_default_s404_f3aa73e9bdf4,24,28,0,0.9973698936658631,0.11901441729238334
p6_repo_default_s404_f3aa73e9bdf4,24,29,0,0.9976269182838513,0.09872956921667599
p6_repo_default_s404_f3aa73e9bdf4,24,30,0,0.9967044416685824,0.11761956679798499
p6_repo_default_s404_f3aa73e9bdf4,24,31,0,0.9974118197389449,0.0995728246487367
p6_repo_default_s404_f3aa73e9bdf4,24,32,0,0.9981859096478761,0.10020617559117241
p6_repo_default_s404_f3aa73e9bdf4,24,33,0,0.9979800129007634,0.09721473493682128
p6_repo_default_s404_f3aa73e9bdf4,24,34,0,0.9972093244970311,0.11719374090514627
p6_repo_default_s404_f3aa73e9bdf4,24,35,0,0.9971783514410656,0.11411433132307612
p6_repo_default_s404_f3aa73e9bdf4,24,36,0,0.9978236822834158,0.09934227998097651
p6_repo_default_s404_f3aa73e9bdf4,24,37,0,0.9871719474939998,0.17151591795310023
p6_repo_default_s404_f3aa73e9bdf4,24,38,0,0.9756195777301467,0.23332262896318084
p6_repo_default_s404_f3aa73e9bdf4,24,39,0,0.983913785113422,0.19693299263414313
p6_repo_default_s404_f3aa73e9bdf4,24,40,0,0.9840299448399741,0.18557177890083468
p6_repo_default_s404_f3aa73e9bdf4,24,41,0,0.975422174130225,0.2339222642351258
p6_repo_default_s404_f3aa73e9bdf4,24,42,0,0.9769231193161949,0.24729653468457508
p6_repo_default_s404_f3aa73e9bdf4,32,0,0,0.36452872592633734,1.1342973919098844
p6_repo_default_s404_f3aa73e9bdf4,32,1,0,0.801190122165847,0.7266037148284602
p6_repo_default_s404_f3aa73e9bdf4,32,2,0,0.926590158939228,0.428214557175675
p6_repo_default_s404_f3aa73e9bdf4,32,3,0,0.9522375631167415,0.3382396486899119
p6_repo_default_s404_f3aa73e9bdf4,32,4,0,0.966987588515722,0.28199109971188596
p6_repo_default_s404_f3aa73e9bdf4,32,5,0,0.9675318569618883,0.2700879269739557
p6_repo_default_s404_f3aa73e9bdf4,32,6,0,0.9854025911330081,0.18181146407263152
p6_repo_default_s404_f3aa73e9bdf4,32,7,0,0.9897203734030475,0.1528746481318775
p6_repo_default_s404_f3aa73e9bdf4,32,8,0,0.9895322647149085,0.1504350869452097
p6_repo_default_s404_f3aa73e9bdf4,32,9,0,0.985576591605467,0.18730887847616437
p6_repo_default_s404_f3aa73e9bdf4,32,10,0,0.9942499175312854,0.1359880297360529
p6_repo_default_s404_f3aa73e9bdf4,32,11,0,0.9959849205527591,0.11145948300681706
p6_repo_default_s404_f3aa73e9bdf4,32,12,0,0.9952907436430539,0.12527384631480196
p6_repo_default_s404_f3aa73e9bdf4,32,13,0,0.9963216119047208,0.09485652846711998
p6_repo_default_s404_f3aa73e9bdf4,32,14,0,0.9983281254030564,0.0750396943498289
